frame,theta
0,0.715570330619812
1,0.7001619338989258
2,0.7143747210502625
3,0.682130753993988
4,0.7073113322257996
5,0.7181825637817383
6,0.708537220954895
7,0.8484888672828674
8,0.6937099099159241
9,0.7301908731460571
10,0.7223293781280518
11,0.6774978041648865
12,0.7273536324501038
13,0.6994416117668152
14,0.7154846787452698
15,0.7114914059638977
16,0.7155358195304871
17,0.8121604919433594
18,0.6994038224220276
19,0.7070764899253845
20,0.6922698616981506
21,0.7548161745071411
22,0.7634972929954529
23,0.6897227168083191
24,0.7211782336235046
25,0.7634586691856384
26,0.7319179773330688
27,0.7260830402374268
28,0.7420271039009094
29,0.7320812940597534
30,0.7317875027656555
31,0.779756486415863
32,0.7236289978027344
33,0.7201279401779175
34,0.7371919751167297
35,0.7677745819091797
36,0.7807311415672302
37,0.6908773183822632
38,0.6979552507400513
39,0.7700400948524475
40,0.7996695041656494
41,0.7540017366409302
42,0.7489422559738159
43,0.6917372345924377
44,0.7032998204231262
45,0.7152707576751709
46,0.7189827561378479
47,0.7255133390426636
48,0.7385079264640808
49,0.6967709064483643
50,0.723324179649353
51,0.7239540815353394
52,0.7060402631759644
53,0.7585827708244324
54,0.7057831287384033
55,0.7486254572868347
56,0.7260573506355286
57,0.7379255294799805
58,0.7428715825080872
59,0.7629139423370361
60,0.7209053635597229
61,0.7434102296829224
62,0.7581797242164612
63,0.7159228920936584
64,0.6885952353477478
65,0.7673566937446594
66,0.7454960942268372
67,0.7411357760429382
68,0.7064089775085449
69,0.6680550575256348
70,0.7060093879699707
71,0.7193796038627625
72,0.742264986038208
73,0.7352162003517151
74,0.7223170399665833
75,0.6985722184181213
76,0.7254324555397034
77,0.7217263579368591
78,0.6559970378875732
79,0.7483488321304321
80,0.707521915435791
81,0.7057311534881592
82,0.7074823975563049
83,0.7429048418998718
84,0.7485121488571167
85,0.738436758518219
86,0.7446025609970093
87,0.712104320526123
