frame,theta
0,0.7575112581253052
1,0.7536916732788086
2,0.6947115659713745
3,0.7331193089485168
4,0.7008169293403625
5,0.7027077078819275
6,0.7246780395507812
7,0.7450333833694458
8,0.6636419296264648
9,0.6862666010856628
10,0.7129191756248474
11,0.7111663818359375
12,0.6832382082939148
13,0.7371687293052673
14,0.7579149007797241
15,0.7116802334785461
16,0.7227228283882141
17,0.6589583158493042
18,0.7384942173957825
19,0.7050262689590454
20,0.7293174266815186
21,0.7277048230171204
22,0.6619370579719543
23,0.69999098777771
24,0.7067320942878723
25,0.6838304400444031
26,0.7387201189994812
27,0.7521058320999146
28,0.7132230401039124
29,0.7233068346977234
30,0.6784589886665344
31,0.692551851272583
32,0.6259573101997375
33,0.8506495952606201
34,0.6888797879219055
35,0.6784375905990601
36,0.6880896091461182
37,0.6622890830039978
38,0.6667513251304626
39,0.657570481300354
40,0.7427240014076233
41,0.7037110328674316
42,0.7676947116851807
43,0.668693482875824
44,0.6962209939956665
45,0.6295997500419617
46,0.7018959522247314
47,0.711493968963623
48,0.7147936224937439
49,0.7781487107276917
50,0.6970028281211853
51,0.7076761722564697
52,0.6520866751670837
53,0.717383623123169
54,0.7230645418167114
55,0.7124525308609009
56,0.6918763518333435
57,0.6951797008514404
58,0.7290939688682556
59,0.7166959047317505
60,0.7181159853935242
61,0.6732905507087708
62,0.6899514198303223
63,0.7245816588401794
