frame,theta
0,0.7044073939323425
1,0.7195519804954529
2,0.6280722618103027
3,0.6369830369949341
4,0.6867085695266724
5,0.7074037790298462
6,0.6557009220123291
7,0.6825830936431885
8,0.7017799615859985
9,0.6938281655311584
10,0.6893410086631775
11,0.7247474193572998
12,0.6871777772903442
13,0.6465494632720947
14,0.6912484765052795
15,0.68818598985672
16,0.6634648442268372
17,0.7465251088142395
18,0.6974887847900391
19,0.6771047115325928
20,0.6636192798614502
21,0.6664245128631592
22,0.6560980081558228
23,0.6781513690948486
